year,population,L_index,C_compute,U_creators,NTA,NTP,Gs,S_supply,D_demand,CSR
1950,2500000000.0,0.631223681958025,0.5043526203376261,659998.8191286072,1000000.0,2000000.0,3065.568407738063,238077.39827494873,2409419134.96392,9.881111792470006e-05
1951,2542499999.9999995,0.6080807686476006,0.5002772526307325,1136141.490969656,1010000.0,2016000.0,3157.535459970205,240336.05730067295,2444829849.913025,9.830379701443147e-05
1952,2585722499.9999995,0.6566583635437042,0.5355067793986446,1186955.413847109,1020100.0,2032128.0000000002,3252.261523769311,246513.16733762322,2452779162.9124155,0.00010050361282624194
1953,2629679782.499999,0.7104283859463313,0.4477093144197405,704057.407432528,1030300.9999999999,2048385.024,3349.8293694823906,259366.91377621848,2513204243.368552,0.00010320168544223776
1954,2674384338.8024983,0.6333471967624266,0.5527656494847187,2015352.310656433,1040604.01,2064772.1041919999,3450.3242505668622,240969.46306939278,2564309412.69698,9.39705099065858e-05
1955,2719848872.562141,0.6449560433395983,0.5987738323740115,1341040.3464184275,1051010.0500999999,2081290.2810255364,3553.833978083869,250248.08904046894,2622160822.3990374,9.543582792588398e-05
1956,2766086303.395697,0.7481197281435047,0.6725048159975343,530567.0962035767,1061520.1506009998,2097940.60327374,3660.4489974263847,252033.88535818053,2614194351.4323163,9.64097735197428e-05
1957,2813109770.5534244,0.7209764195954204,0.5909274140480402,1477036.3724808786,1072135.35210701,2114724.12809993,3770.2624673491764,261218.5459328788,2691893247.2046533,9.703896921028958e-05
1958,2860932636.6528316,0.673590305039359,0.5952024023206328,684415.3332410255,1082856.70562808,2131641.9211247293,3883.370341369651,254876.81585607273,2717871328.4300585,9.37781024399337e-05
1959,2909568491.4759297,0.7397325477715532,0.6298976906694146,1588761.6324710844,1093685.272684361,2148695.0564937275,3999.8714516107416,261205.92636519644,2737212540.8613772,9.542771066034835e-05
1960,2959031155.83102,0.7061258189548518,0.7207038991198357,1798458.228744343,1104622.1254112045,2165884.6169456774,4119.867595159064,275704.9329291495,2822738796.990016,9.76728463941273e-05
1961,3009334685.4801474,0.7239273773758415,0.711927427501247,833250.5828051778,1115668.3466653167,2183211.693881243,4243.463623013836,262138.10596615478,2880311908.7982674,9.101031911350352e-05
1962,3060493375.13331,0.7785302558786643,0.6901843815106596,1750214.6285263894,1126825.0301319698,2200677.387432293,4370.76753170425,283089.95939966786,2917059069.7028666,9.704635821053276e-05
1963,3112521762.510576,0.6913661568221154,0.7641639360187198,1500370.050087724,1138093.2804332895,2218282.806531751,4501.890557655379,265901.9612192426,2947190656.2428727,9.022217841794423e-05
1964,3165434632.4732547,0.7228429169209879,0.765848107990314,1730997.2926275902,1149474.2132376223,2236029.0689840056,4636.94727438504,283950.9105151966,2981236866.768643,9.524600801779649e-05
1965,3219247021.2253,0.804576409513641,0.8326061417793992,2294904.532523905,1160968.9553699987,2253917.3015358774,4776.055692616592,282142.5372407223,3052958249.5282083,9.241611387391997e-05
1966,3273974220.58613,0.8072786813175247,0.7729580971581557,1250929.4320316892,1172578.6449236986,2271948.639948164,4919.33736339509,277178.8007535247,3078372469.905359,9.004069633004686e-05
1967,3329631782.336094,0.900574533472535,0.8162936503339667,1024470.5255229499,1184304.4313729357,2290124.2290677493,5066.917484296942,266708.8462128036,3074148602.4251065,8.675860561926146e-05
1968,3386235522.635807,0.8682006020569377,0.8384392515369387,984925.9204599003,1196147.475686665,2308445.2229002914,5218.925008825851,286553.0298334771,3128395810.3885627,9.159743434060084e-05
